Retailer,Province,Flyer_Id,Brand,Name,pre_price_text,Price,post_price_text,Original Price,Save %,PC Pts,PC App Coupon?,Scene+ Promo?,Price Match,Sale Story,Description,Disclaimer,has_Expired,Valid From,Valid To
Real Canadian Superstore,BC,7732110,Huggies,"HUGGIES ECONO PACK DIAPERS, 60-200'S",,34.99,OVER LIMIT PAY 41.99 EA,,,"15,000",,,,"PC Optimum GET 15,000 pts when you spend $75 or more on Huggies Diapers or Wipes, Pull-Ups and Goodnites, $15 back in points","SELECTED VARIETIES, SIZE N-7",LIMIT 4,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,GoodNites,"GOODNITES CLUB PACK TRAINING PANTS, 28-74'S",,26.99,OVER LIMIT PAY 32.99 EA,,,"15,000",,,,"PC Optimum GET 15,000 pts when you spend $75 or more on Huggies Diapers or Wipes, Pull-Ups and Goodnites, $15 back in points",SELECTED VARIETIES,LIMIT 4,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Pull-Ups,"PULL-UPS ECONO PACK TRAINING PANTS, 66-104'S",,36.99,OVER LIMIT PAY 43.99 EA,,,"15,000",,,,"PC Optimum GET 15,000 pts when you spend $75 or more on Huggies Diapers or Wipes, Pull-Ups and Goodnites, $15 back in points",SELECTED VARIETIES,LIMIT 4,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,FRIDABABY | FRIDAMOM,FRIDABABY OR FRIDAMOM,,,,,,"10,000",,,,"PC Optimum GET 10,000 pts when you spend $25*, $10 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Fridababy,FRIDABABY OR FRIDAMOM,,,,,,"10,000",,,,"PC Optimum GET 10,000 pts when you spend $25*, $10 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,RESTORALAX,"RESTORALAX POWDERS 119-765 G, GUMMIES 30/90'S OR PACKETS 10'S",,,,,,"7,000",,,,"PC Optimum GET 7,000 pts when you spend $30*, $7 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,RESTORALAX,"RESTORALAX POWDERS, 119-765 G, GUMMIES, 30/90' S OR PACKETS, 10' S",,,,,,"7,000",,,,"PC Optimum GET 7,000 pts when you spend $30*, $7 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,,"11 PIECE WINGS, 460-530 G",,10,,,,"5,000",,,,"PC Optimum GET 5,000 pts when you buy 2, $5 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Neutrogena,NEUTROGENA FACE OR HAIR CARE PRODUCTS,,,,,,"5,000",,,,"PC Optimum GET 5,000 pts when you buy 2, $5 back in points",selected varieties and sizes,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,,"11 PIECE WINGS, 460-530 G",,10,,,,"5,000",,,,"PC Optimum GET 5,000 pts when you buy 2, $5 back in points",MADE IN-STORE,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Neutrogena,NEUTROGENA FACE OR HAIR CARE PRODUCTS,,,,,,"5,000",,,,"PC Optimum GET 5,000 pts when you buy 2, $5 back in points",Selected varieties and sizes,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,BIO-K+,"BIO K+ PROBIOTIC DAILY CARE CAPSULES, 510-526 G",,,,,,"4,500",,,,"PC Optimum GET 4,500 pts, $4.50 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Bio-K +,"BIO K + PROBIOTIC DAILY CARE CAPSULES, 15-60'S",,,,,,"4,500",,,,"GET PC Optimum 4,500 pts, $4.50 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Tree Hut,"TREE HUT SHEA SUGAR SCRUBS, BODY WASH, SHAVE OIL OR BODY BUTTER",,,,,,"4,000",,,,"PC Optimum GET 4,000 pts when you spend $20*, $4 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Tree Hut,"TREE HUT SHEA SUGAR SCRUBS, BODY WASH, SHAVE OIL OR BODY BUTTER",,,,,,"4,000",,,,"GET PC Optimum 4,000 pts for every $20* spent. $4 back in points",SELECTED VARIETIES AND SIZES,,FALSE,2026-01-22,2026-01-28
NoFrills,ON,7732268,PC,"PC® SMOKIES, 1 KG",,,,,,"3,000",Yes,,,"PC Optimum Get 3000 pts with digital coupon, Over $25 in value",Saucisses fumées,,FALSE,2026-01-22,2026-01-28
NoFrills,ON,7732268,PC,"PC® SPLENDIDO® OLIVE OIL, 1 L",,,,,,"3,000",Yes,,,"PC Optimum Get 3000 pts with digital coupon, Over $25 in value",Huile d'olive,,FALSE,2026-01-22,2026-01-28
NoFrills,BC,7732204,PC,"PC® SMOKIES, 1 kg",,,,,,"3,000",Yes,,,"Get 3,000 pts with digital coupon",,,FALSE,2026-01-22,2026-01-28
NoFrills,BC,7732204,PC,"PC® SPLENDIDO® OLIVE OIL, 1 L",,,,,,"3,000",Yes,,,"Get 3,000 pts with digital coupon",,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Nivea,"NIVEA LOTIONS, 1 L, CREME, 400 ML OR SOFT CREAM, 300 ML",,14,OVER LIMIT PAY 15.99 EA,,,"3,000",,,,"PC Optimum GET 3,000 pts. $3 back in points",SELECTED VARIETIES AND SIZES,LIMIT 4,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Nivea,"NIVEA LOTIONS, 1 L, CREME, 400 ML OR SOFT CREAM, 300 ML",,14,OVER LIMIT PAY 15.99 EA,,,"3,000",,,,"GET PC Optimum 3,000 pts, $3 back in points",SELECTED VARIETIES AND SIZES,LIMIT 4,FALSE,2026-01-22,2026-01-28
NoFrills,ON,7732268,PC,"PC® MAPLE SYRUP, 500 ML",,,,,,"2,500",Yes,,,"PC Optimum Over 25 in value, Get 2,500 pts with digital coupon",Sirop d'érable,,FALSE,2026-01-22,2026-01-28
NoFrills,BC,7732204,PC,"PC® MAPLE SYRUP, 500 mL",,,,,,"2,500",Yes,,,"Get 2,500 pts with digital coupon",,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Iögo,"IÖGO NANÖ DRINKABLE YOGURT, 24X93 ML",,15.49,,,,"2,500",,,,"PC Optimum GET 2,500 pts, $2.50 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Nature's Way,"NATURE'S WAY SAMBUCUS GUMMIES, 60' S OR SYRUP, 120/240 ML",,,,,,"2,500",,,,"PC Optimum GET 2,500 pts. $2.50 back in points",,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Nature's Way,"NATURE'S WAY SAMBUCUS GUMMIES, 60'S OR SYRUP, 120/240 ML",,,,,,"2,500",,,,"PC Optimum GET 2,500 pts, $2.50 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,BC,7732110,Iögo,"IÖGO NANO DRINKABLE YOGURT, 24X93 ML",,15.49,OVER LIMIT PAY 17.49 EA,,,"2,500",,,,"PC Optimum GET 2,500 pts, $2.50 back in points",SELECTED VARIETIES,LIMIT 4,FALSE,2026-01-22,2026-01-28
NoFrills,BC,7732204,BREADED,"BREADED CHICKEN, MEATBALLS, HORS D'OEUVRES, LEAN GROUND BEEF, TURKEY or HALAL CHICKEN, 400 g-1.81 kg",ONLY,10,,,,"2,000",,,,"PC Optimum EARN 2,000 pts, =2 Back in points","Selected varieties, frozen",,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,Adams,"ADAMS NATURAL PEANUT BUTTER, 500 G/1 KG",,,,,,"2,000",,,,"PC Optimum GET 2,000 pts when you spend $10*, $2 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,MILLIE MOON,MILLIE MOON CLUB PACK DIAPERS,,24.99,OVER LIMIT PAY 29.99 EA,,,"2,000",,,,"PC Optimum GET 2,000 pts, $2 back in points",CLUB SIZE SELECTED VARIETIES AND SIZES,LIMIT 4,FALSE,2026-01-22,2026-01-28
Real Canadian Superstore,ON,7732187,IN-STORE,"IN-STORE TAKE AND BAKE PIZZA, 14 INCH, 660-730 G",,12,,,,"2,000",,,,"PC Optimum GET 2,000 pts, $2 back in points",SELECTED VARIETIES,,FALSE,2026-01-22,2026-01-28
